question,response
List all heads of the government of Agglomeration community of Le Havre from 2010 to 2017 ,"Nicolas Sarkozy, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault, François-Henri Pinault,"
"List all educational institutions Lee Hyun-joo, also known as Lee Hyunjoo, attended from 2014 to 2020.","Lee Hyun-joo, also known as Lee Hyunjoo, attended Seoul National University"
"List all coaches of Hellas Verona F.C., also known as Hellas Verona Football Club, from 2018 to 2020","List all coaches of Hellas Verona F.C., also known as Hellas Verona Football Club, from 2018 to 2020"
List all employers Julie Bentley worked for from 2012 to 2020.,"Bentley, Julie"
"List all positions Shawn McKnight, also known as William McKnight, held from 2017 to 2020.",Mayor of the City of St. Paul
List all educational institutions Louise Coldefy attended from 2010 to 2020.,University of Oxford
"List all positions Don Young, also known as Donald Edwin ""Don"" Young, held from 2010 to 2020.","Don Young, also known as Donald Edwin ""Don"" Young, was a Republican politician in the U.S. state of Montana."
"List all chairpersons of Deutsche Physikalische Gesellschaft, also known as German Physical Society, from 2010 to 2020","List of chairpersons of Deutsche Physikalische Gesellschaft, also known as German Physical Society, from 2010 to 2020"
"Li, also known as the i paper,st all enti, also known as the i paper,ti, also known as the i paper,es that owned i, also known as the i paper, from 2016 to 2020.","i, also known as the i paper,st all enti, also known as the i paper,ti, also known as the i paper,es that owned i, also known as the i paper, from 2016 to 2020."
List all political parties Assita Kanko was a member of from 2010 to 2020.,Assita Kanko
"List all positions John F. Kelly, also known as John Francis Kelly, held from 2017 to 2019.",President of the United States
"List all sports teams Luke Freeman, also known as Luke Anthony Freeman, played for from 2010 to 2020.",Atlanta Falcons
"List all political parties Romeu Zema, also known as Romeu Zema Neto, was a member of from 2010 to 2020.",Portugal People's Party
List all entities that owned Viasat from 2010 to 2020.,"Viasat, Inc."
"List all positions Marie L. Yovanovitch, also known as Marie Yovanovitch, held from 2010 to 2019.","Marie L. Yovanovitch, also known as Marie Yovanovitch, was a member of the New York State Assembly from 2010 to 2019."
"List all heads of the government of Odesa, also known as Odessa, from 2010 to 2020 ","Odessa, also known as Odessa, is a city in the Ukrainian SSR."
List all employers Rachel Aldred worked for from 2010 to 2020.,"Aldred, Rachel"
"List all sports teams Edvald Boasson-Hagen, also known as Edvald Boasson Hagen, played for from 2010 to 2020.",Icelandic national football team
"List all political parties Núria de Gispert, also known as Nuria de Gispert, was a member of from 2010 to 2020.",Nria de Gispert
"List all coaches of Debreceni VSC, also known as DVSC, from 2011 to 2020","Debreceni VSC, also known as DVSC, has had the following coaches:"
List all positions Jan O'Sullivan held from 2010 to 2020.,Jan O'Sullivan
List all political parties Sandra Jansen was a member of from 2010 to 2020.,Liberal Party
"List all positions Edward Garnier, also known as Sir Edward Henry Garnier, held from 2010 to 2012.",Minister for the Environment
List all sports teams Ross McCormack played for from 2010 to 2020.,New Zealand national rugby union team
"List all entities that owned South China Morning Post, also known as SCMP, from 2010 to 2020.",South China Morning Post
"List all sports teams Kevin Phillips, also known as Kevin Mark Phillips, played for from 2010 to 2014.",Houston Texans
"List all positions Bob Filner, also known as Robert Earl ""Bob"" Filner, held from 2010 to 2013.",Mayor of San Diego
List all educational institutions Filip Petrušev attended from 2016 to 2020.,University of Economics and Business
List all positions Alexander De Croo held from 2014 to 2020.,Mayor of Milan
List all coaches of FC Nitra from 2011 to 2020,List of FC Nitra coaches from 2011 to 2020
"List all political parties Alison Anderson, also known as Alison Nampitjinpa Anderson, was a member of from 2011 to 2014.",Australian Labor Party
"List all heads of the government of Rhineland-Palatinate, also known as Rheinland-Pfalz, from 2010 to 2020 ","List of heads of the government of Rhineland-Palatinate, also known as Rheinland-Pfalz, from 2010 to 2020"
"List all employers Cathy L. Lanier, also known as Cathy L Lanier, worked for from 2010 to 2020.",Cathy L. Lanier
"List all political parties Teodor Meleșcanu, also known as Teodor Viorel Meleşcanu, was a member of from 2010 to 2019.","Teodor Meleșcanu, also known as Teodor Viorel Meleşcanu, was a member of the Democratic Party of Romania (PDR) from 2010 to 2019"
"List all sports teams Javier Hernández, also known as Javier Hernández Balcázar, played for from 2010 to 2020.",FC Barcelona
"List all sports teams Steve Smith, also known as Steven Peter Devereux Smith, played for from 2010 to 2020.",New Zealand national cricket team
"List all entities that owned 50Hertz Transmission, also known as 50Hertz Transmission GmbH, from 2010 to 2020.",50Hertz Transmission GmbH
"List all employers Andreas Küttel, also known as Andreas Kuttel, worked for from 2010 to 2020.",rebro University
"List all sports teams Hirving Lozano, also known as Hirving Lozano Bahena, played for from 2014 to 2020.",Hirving Lozano
"List all positions Graham Watson, also known as Sir Graham Robert Watson, held from 2010 to 2015.",Lord Lieutenant of the Isle of Wight
"List all heads of the government of Georgia, also known as Republic of Georgia, from 2012 to 2020 ",Georgian President: Irakli Garibashvili
"List all coaches of FC Erzgebirge Aue, also known as Wismut Aue, from 2010 to 2020","List all coaches of FC Erzgebirge Aue, also known as Wismut Aue, from 2010 to 2020"
List all political parties Lucía Sosa was a member of from 2010 to 2020.,Democrat Party
"List all sports teams Edgar Davids, also known as Edgar Steven Davids, played for from 2010 to 2014.",New York Knicks
List all sports teams Petr Čech played for from 2010 to 2019.,"Petr ech played for eská státn trh, eská státn trh, eská státn trh, eská státn trh, eská státn trh, eská státn trh, eská státn trh, eská státn trh, eská státn trh, eská státn trh, eská státn trh, eská státn trh, eská státn trh, eská státn t"
"List all chairpersons of Ministry of Science and ICT, also known as MSIT, from 2017 to 2020","List of chairpersons of Ministry of Science and ICT, also known as MSIT, from 2017 to 2020"
List all employers Caroline Uhler worked for from 2011 to 2020.,Caroline Uhler
"List all coaches of KS Kamza, also known as FC Kamza, from 2018 to 2020","KS Kamza, also known as FC Kamza, coach"
"List all employers Wishnutama, also known as Wishnutama Kusubandio, worked for from 2010 to 2020.",Wishnutama
"List all employers Kevin Anderson, also known as Kevin Bruce Anderson, worked for from 2010 to 2018.",United States Department of Defense
"List all entities that owned Houston Rockets, also known as San Diego Rockets, from 2010 to 2020.",Houston Rockets
"List all positions Robert Mugabe, also known as Robert Gabriel Mugabe, held from 2010 to 2017.",President of Zimbabwe
"List all coaches of Stade de Reims, also known as Stade Reims, from 2015 to 2020",2015–2020 Stade de Reims
"List all sports teams Chris Birchall, also known as Christopher Birchall, played for from 2010 to 2020.",Cardiff City
"List all positions Theresa Villiers, also known as Theresa Anne Villiers, held from 2010 to 2016.",Theresa Villiers Secretary of State for International Development
"List all employers Gregory Fu, also known as Greg Fu, worked for from 2010 to 2020.","Fu, Gregory"
List all positions Noel Dempsey held from 2010 to 2011.,Noel Dempsey was the United States Secretary of State from 2010 to 2011.
"List all positions Mahinda Rajapaksa, also known as Percy Mahendra Rajapaksa, held from 2010 to 2018.",President of Sri Lanka
List all employers Peggy Johnson worked for from 2014 to 2020.,Peggy Johnson
List all employers Giliano Wijnaldum worked for from 2010 to 2020.,AZ Alkmaar
"List all coaches of PFC Ludogorets Razgrad, also known as Professional Football Club Ludogorets 1945 Razgrad, from 2010 to 2020","List all coaches of PFC Ludogorets Razgrad, also known as Professional Football Club Ludogorets 1945 Razgrad, from 2010 to 2020"
"List all positions Hilary Benn, also known as Hilary James Wedgwood Benn, held from 2010 to 2016.",Member of Parliament
List all political parties Aurore Lalucq was a member of from 2017 to 2020.,Aurore Lalucq
"List all sports teams Dinesh Chandimal, also known as Lokuge Dinesh Chandimal, played for from 2010 to 2020.",Sri Lanka national cricket team
"List all positions Magid Magid, also known as Magid Mah, held from 2018 to 2020.","Magid Magid, also known as Magid Mah, was the Minister of Health and Welfare from 2018 to 2020."
"List all coaches of Club Brugge K.V., also known as Club Brugge, from 2013 to 2020","List of coaches of Club Brugge K.V., also known as Club Brugge, from 2013 to 2020"
"List all positions Chris Murphy, also known as Christopher Scott Murphy, held from 2010 to 2020.",Governor of New Jersey
"List all chairpersons of Alberta New Democratic Party, also known as ANDP, from 2010 to 2020",List of Alberta New Democratic Party chairpersons from 2010 to 2020
"List all sports teams Steve Morison, also known as Steven William ""Steve"" Morison, played for from 2010 to 2020.",New Zealand national rugby union team
"List all coaches of Kisvárda FC, also known as Kisvárda Futball Club, from 2018 to 2020","List all coaches of Kisvárda FC, also known as Kisvárda Futball Club, from 2018 to 2020"
"List all chairpersons of Young Socialists in the SPD, also known as Jungsozialistinnen und Jungsozialisten in der SPD, from 2010 to 2020","List all chairpersons of Young Socialists in the SPD, also known as Jungsozialistinnen und Jungsozialisten in der SPD, from 2010 to 2020"
"List all coaches of Australia national rugby union team, also known as Wallabies, from 2010 to 2020","Chris Ashton, Steve Hansen, Steve Hansen, Chris Ashton, Steve Hansen, Chris Ashton, Steve Hansen, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton, Chris Ashton,"
"List all chairpersons of Konrad Adenauer Foundation, also known as Konrad-Adenauer-Stiftung, from 2010 to 2020","List of chairpersons of Konrad Adenauer Foundation, also known as Konrad-Adenauer-Stiftung, from 2010 to 2020"
"List all entities that owned The McDowell News, also known as McDowell News, from 2010 to 2020.",The McDowell News
"List all political parties Vlad Voiculescu, also known as Vlad Vasile Voiculescu, was a member of from 2010 to 2020.",Romanian Communist Party
"List all positions David Mabuza, also known as Mabuza, held from 2010 to 2020.",President of South Africa
"List all positions Manohar Parrikar, also known as Manohar Gopalkrishna Prabhu Parrikar, held from 2014 to 2017.",Manohar Parrikar was the Chief Minister of Goa from 2014 to 2017.
List all sports teams Greg Van Avermaet played for from 2010 to 2020.,Belgium national cycling team
"List all positions Francis Chullikatt, also known as Francis Assisi Chullikatt, held from 2010 to 2020.",President of the Republic of the Congo
"List all chairpersons of World Uyghur Congress, also known as WUC, from 2010 to 2020","Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Jianlin, Xiao Ji"
"List all heads of the government of Marinduque, also known as Province of Marinduque, from 2010 to 2020 ","Marinduque, also known as Province of Marinduque, 2010–2020"
List all sports teams Gentjan Muça played for from 2010 to 2020.,Gentjan Muça
"List all positions Xi Jinping, also known as Xi Jìnping, held from 2010 to 2020.",President of the People's Republic of China
List all coaches of NK Rudeš from 2018 to 2020,List all coaches of NK Rude from 2018 to 2020
List all entities that owned Sørlandet Line from 2010 to 2020.,Srlandet Line
List all political parties Nasreena Ibrahim was a member of from 2010 to 2017.,Pakistan People's Party
"List all positions Vickie Chapman, also known as Vickie Ann Chapman, held from 2018 to 2020.",Vickie Chapman
"List all coaches of Sporting Gijón, also known as Sporting Gijon, from 2017 to 2020","List all coaches of Sporting Gijón, also known as Sporting Gijon, from 2017 to 2020"
"List all sports teams MS Dhoni, also known as Mahi, played for from 2010 to 2020.",Mumbai Indians
"List all entities that owned Port of İzmir, also known as Port of Alsancak, from 2010 to 2020.",zmir Ports Authority
List all coaches of FK Borac Banja Luka from 2018 to 2020,List all coaches of FK Borac Banja Luka from 2018 to 2020
List all coaches of FC Torpedo-MAZ Minsk from 2014 to 2019,аионалне иаил аионалне иаил аионалне иаил аионалне иаил аионалне иаил аионалне иаил аионалне иаил аионалне иаил аионалне иаил аионалне иаил аионалне иаил аионалне иаил аионалне иаил аионалн
List all sports teams Tobin Heath played for from 2010 to 2020.,Tobin Heath
"List all positions Joe Donnelly, also known as Joseph Simon ""Joe"" Donnelly, Sr., held from 2010 to 2019.","Joe Donnelly, also known as Joseph Simon ""Joe"" Donnelly, Sr., was a member of the New York State Senate from 2010 to 2019."
List all employers Fumio Hayashi worked for from 2010 to 2020.,
"List all employers Patrick McGrath, also known as Patrick J. McGrath, worked for from 2010 to 2020.","Patrick McGrath, also known as Patrick J. McGrath, worked for the United States Department of State"
"List all sports teams Santiago Cazorla, also known as Santiago Cazorla González, played for from 2010 to 2020.",Madrid
"List all employers Sarafina Nance, also known as S. Nance, worked for from 2012 to 2020.","Nance, Sarafina"
"List all employers Aleksandr Kogan, also known as Aleksandr Spectre, worked for from 2011 to 2020.",Aleksandr Kogan
"List all sports teams Tim Cahill, also known as Timothy Filiga Cahill, played for from 2010 to 2020.",Melbourne Victory
"List all positions Christian Wulff, also known as Christian Wilhelm Walter Wulff, held from 2010 to 2012.",President of the Federal Republic of Germany
List all political parties Marta Andreasen was a member of from 2010 to 2020.,Democratic Party of Norway
"List all positions Mohammad Shtayyeh, also known as Dr. Mohammad Shtayyeh, held from 2019 to 2020.",President of the National Council of Resistance
"List all sports teams John Guidetti, also known as John Alberto Guidetti, played for from 2010 to 2020.",San Diego Padres
"List all sports teams José Luis Palomino, also known as Jose Luis Palomino, played for from 2010 to 2020.",José Luis Palomino
"List all educational institutions Daniel L. Swain, also known as Daniel L Swain, attended from 2010 to 2016.","University of Maryland, College Park"
"List all chairpersons of Ernst & Young, also known as EY, from 2010 to 2020","Ernst & Young, also known as EY, is a professional services firm headquartered in New York City."
List all employers Daniel Diermeier worked for from 2016 to 2020.,NBCUniversal
List all sports teams Anna van der Breggen played for from 2012 to 2020.,2012–2012 2012–2013 2013–2014 2014–2015 2015–2016 2016–2017 2017–2018 2018–2019 2020–2021
"List all sports teams Will Buckley, also known as William Edward ""Will"" Buckley, played for from 2010 to 2020.",Will Buckley (footballer)
"List all positions Dominic Grieve, also known as Dominic Charles Roberts Grieve, held from 2010 to 2020.",Minister of Justice
"List all coaches of Lidl-Trek, also known as Trek Factory Racing, from 2011 to 2020","Lidl-Trek, also known as Trek Factory Racing"
"List all chairpersons of Linacre College, also known as Linacre College, Oxford, from 2010 to 2020","List of chairpersons of Linacre College, also known as Linacre College, Oxford, from 2010 to 2020"
"List all sports teams Pepe Reina, also known as José Manuel Reina Páez, played for from 2010 to 2020.",Pepe Reina
List all employers Heather Cox Richardson worked for from 2010 to 2020.,Cox Communications
List all political parties Seiji Maehara was a member of from 2010 to 2020.,Seiji Maehara
"List all heads of the government of Myanmar, also known as Burma, from 2010 to 2020 ",Aung San Suu Kyi Aung San Suu Kyi
"List all sports teams David Healy, also known as David Jonathan Healy, played for from 2010 to 2013.",New York Rangers
"List all educational institutions Prince Joseph Wenzel of Liechtenstein, also known as Joseph Wenzel Maximilian Maria Prinz von und zu Liechtenstein, attended from 2010 to 2017.","Prince Joseph Wenzel of Liechtenstein, also known as Joseph Wenzel Maximilian Maria Prinz von und zu Liechtenstein, attended the University of Liechtenstein from 2010 to 2017"
List all political parties Muriel Ressiguier was a member of from 2012 to 2020.,Democrat Party
List all sports teams James Forrest played for from 2010 to 2020.,Atlanta Hawks
"List all sports teams Jimmy Butler, also known as Jimmy Butler III, played for from 2010 to 2020.",Chicago Bulls
"List all coaches of Antalyaspor, also known as Antalyaspor Kulübü, from 2018 to 2020","Antalyaspor, also known as Antalyaspor Kulübü, from 2018 to 2020"
"List all positions Tina Smith, also known as Christine Elizabeth Smith, held from 2015 to 2020.",Governor of New York
List all coaches of FC Torpedo Kutaisi from 2014 to 2020,lvaro Moratinos
"List all coaches of FK Žalgiris Vilnius, also known as Žalgiris Vilnius, from 2014 to 2020",algiris Vilnius
"List all chairpersons of United Nations General Assembly, also known as UNGA, from 2018 to 2020","List of chairpersons of United Nations General Assembly, also known as UNGA from 2018 to 2020"
"List all entities that owned The Free Lance–Star, also known as Free Lance-Star, from 2010 to 2020.",The Free Lance–Star
List all political parties Elazar Stern was a member of from 2012 to 2020.,Elazar Stern was a member of the Jewish Home party from 2012 to 2020.
List all sports teams Moussa Sissoko played for from 2010 to 2020.,Moussa Sissoko
List all political parties Hanne Thürmer was a member of from 2010 to 2020.,VP
List all sports teams Todd Carney played for from 2010 to 2020.,New York Jets
"List all sports teams Mauro Icardi, also known as Mauro Emanuel Icardi, played for from 2012 to 2020.",Argentine national football team
"List all heads of the government of Bolzano, also known as Bozen, from 2010 to 2020 ",Nicolai Grüninger
"List all sports teams Gennaro Gattuso, also known as Gennaro Ivan Gattuso, played for from 2010 to 2013.",Milan
List all coaches of KS Vllaznia Shkodër from 2016 to 2020,ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljana etkovi ljan
List all educational institutions Anneloes van Veen attended from 2010 to 2013.,University of Amsterdam
"List all sports teams Federico Macheda, also known as Federico ""Kiko"" Macheda, played for from 2010 to 2020.",FC Barcelona
List all political parties Jens Rohde was a member of from 2010 to 2020.,German People's Party
"List all educational institutions Kelsey Plum, also known as Kelsey Christine Plum, attended from 2010 to 2017.","Kelsey Plum, also known as Kelsey Christine Plum, attended the University of Oklahoma from 2010 to 2017"
"List all chairpersons of Union rationaliste, also known as Rationalist Union, from 2010 to 2020","List of chairpersons of Union rationaliste, also known as Rationalist Union, from 2010 to 2020"
"List all chairpersons of Democratic Convergence of Catalonia, also known as CDC, from 2010 to 2016","Catalan Democratic Convergence of Catalonia, also known as CDC, chairpersons, 2010–2016"
List all political parties Naz Baloch was a member of from 2011 to 2020.,Naz Baloch was a member of the Pakistan Peoples Party (PPP) from 2011 to 2020.
"List all chairpersons of Brothers of Italy, also known as Fdl, from 2012 to 2020","List of Brothers of Italy, also known as Fdl, from 2012 to 2020"
List all political parties Joachim Starbatty was a member of from 2010 to 2020.,Joachim Starbatty was a member of the Liberal Party of Australia
List all employers Rebecca Willett worked for from 2013 to 2020.,Rebecca Willett
List all positions Kevin Doran held from 2014 to 2020.,Mayor of the City of New York
"List all coaches of Louisville Cardinals men's basketball, also known as Louisville Cardinals, from 2010 to 2020",List of Louisville Cardinals men's basketball coaches from 2010 to 2020
"List all positions Anerood Jugnauth, also known as Sir Anerood Jugnauth, held from 2010 to 2017.",Minister of Foreign Affairs of the Netherlands
List all sports teams Jon Dahl Tomasson played for from 2010 to 2011.,Jon Dahl Tomasson played for the New York Rangers
List all political parties Guillaume Larrivé was a member of from 2010 to 2020.,Democrat Party
List all positions Maxwell Silva held from 2011 to 2020.,Maxwell Silva was the Mayor of the City of San Francisco from 2011 to 2020.
"List all sports teams Ryan Rowland-Smith, also known as Ryan Benjamin Rowland-Smith, played for from 2010 to 2014.",New Zealand national rugby union team
List all political parties John Longworth was a member of from 2010 to 2020.,Conservative Party
"List all positions Mike Pence, also known as Michael R. Pence, held from 2010 to 2020.",Vice President
"List all chairpersons of Ministry of Culture, Sports and Tourism, also known as MCST, from 2010 to 2020","List of chairpersons of Ministry of Culture, Sports and Tourism, also known as MCST, from 2010 to 2020"
"List all sports teams Bradley Wiggins, also known as Wiggo, played for from 2010 to 2016.",Liverpool F.C.
List all political parties Marian-Jean Marinescu was a member of from 2010 to 2020.,Romanian Democratic Union
List all heads of the government of Slagelse Municipality from 2010 to 2020 ,Slagelse Municipality
List all coaches of Olympiakos Nicosia FC from 2016 to 2020,Alexis Tsipras
"List all educational institutions Sandro Mamukelashvili, also known as Mamu, attended from 2016 to 2020.",University of Georgia
"List all heads of the government of Varese, also known as Varés, from 2010 to 2020 ",Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Salvini Nicola Sal
List all political parties Craig Mackinlay was a member of from 2010 to 2020.,Liberal Party of Australia
"List all positions Paul Butler, also known as Paul Roger Butler, held from 2010 to 2020.",Paul Roger Butler
"List all positions Muhyiddin Yassin, also known as Tan Sri Dato' Haji Muhyiddin bin Haji Mohd Yassin, held from 2010 to 2020.",Prime Minister of Malaysia
"List all coaches of Villarreal CF, also known as Villarreal Club de Fútbol, S.A.D., from 2010 to 2020","Villarreal CF, also known as Villarreal Club de Ftbol, S.A.D."
"List all chairpersons of Liberal Movement, also known as Liberals Movement of the Republic of Lithuania, from 2010 to 2020","List of chairpersons of Liberal Movement, also known as Liberals Movement of the Republic of Lithuania, from 2010 to 2020"
"List all sports teams Kasper Schmeichel, also known as Kasper Peter Schmeichel, played for from 2010 to 2020.",Bayern Munich
"List all coaches of Roubaix Lille Métropole 2017, also known as RLM 2017, from 2010 to 2020",2010–2020
"List all positions Chris Finlayson, also known as Christopher Francis Finlayson, held from 2010 to 2017.",2010-2017
List all political parties Rasmus Paludan was a member of from 2016 to 2020.,Rasmus Paludan was a member of the Social Democratic Party of Estonia from 2016 to 2020.
List all positions Katherine Zappone held from 2016 to 2020.,Katherine Zappone
"List all coaches of Brentford F.C., also known as Brentford Football Club, from 2013 to 2020",Brentford F.C.
List all employers Koby Altman worked for from 2010 to 2020.,Koby Altman
"List all employers Samer Hassan, also known as Samer Hassan Collado, worked for from 2011 to 2020.",
"List all political parties Raphaël Schellenberger, also known as Raphael Schellenberger, was a member of from 2010 to 2020.","Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de l'Europe, Ligue nationale de"
"List all employers Jonathan Haidt, also known as Jonathan David Haidt, worked for from 2010 to 2020.",United States Department of Justice
"List all political parties Wilson Lima, also known as Wilson Miranda Lima, was a member of from 2016 to 2020.",Democratic Party
"List all employers Heather Nauert, also known as Heather Ann Nauert, worked for from 2010 to 2020.",United States Department of Agriculture
List all chairpersons of High Council of Public Finances from 2013 to 2020,List of High Council of Public Finances chairpersons from 2013 to 2020
"List all positions Joe McHugh, also known as Joseph McHugh, held from 2010 to 2020.","Joe McHugh, also known as Joseph McHugh, was a member of the New York State Senate from 2010 to 2020."
"List all positions Salman bin Abdulaziz Al Saud, also known as Salman Al Saud, held from 2012 to 2020.",King of Saudi Arabia
List all employers Michelle Alexander worked for from 2010 to 2020.,Michelle Alexander
"List all positions Pranab Mukherjee, also known as Pranab Kumar Mukherjee, held from 2010 to 2017.",President of India
List all employers Sunny Sanwar worked for from 2010 to 2013.,Sunny Sanwar
List all positions Roseanna Cunningham held from 2011 to 2020.,Roseanna Cunningham
"List all chairpersons of European Border and Coast Guard Agency, also known as Frontex, from 2010 to 2020","List of chairpersons of European Border and Coast Guard Agency, also known as Frontex, from 2010 to 2020"
"List all positions Christy Clark, also known as Christina Joan Clark, held from 2011 to 2017.","Christy Clark, also known as Christina Joan Clark, was the first female governor of New York from 2011 to 2017."
"List all employers Arancha González, also known as María Aránzazu, worked for from 2010 to 2020.",Arancha González
"List all positions Brian Schatz, also known as Brian Emanuel Schatz, held from 2010 to 2020.",Governor of Hawaii
"List all chairpersons of Max Planck Society, also known as Max-Planck-Gesellschaft zur Förderung der Wissenschaften e. V., from 2010 to 2020",Max Planck Society
List all employers Galit Shmueli worked for from 2010 to 2020.,Galit Shmueli
"List all sports teams Darren Bent, also known as Darren Ashley Bent, played for from 2010 to 2018.","Darren Bent Darren Bent (born Darren Ashley Bent; born 10 July 1990) is a former English footballer who played for Liverpool, Manchester United, and West Ham United."
List all coaches of KF Skënderbeu Korçë from 2017 to 2020,List all coaches of KF Sknderbeu Korç from 2017 to 2020
"List all coaches of Racing de Santander, also known as Real Racing Club de Santander, S.A.D., from 2018 to 2020","List all coaches of Racing de Santander, also known as Real Racing Club de Santander, S.A.D., from 2018 to 2020"
"List all coaches of Brescia Calcio, also known as Brescia Calcio s.p.a, from 2013 to 2020",Brescia Calcio
"List all positions Teodor Meleșcanu, also known as Teodor Viorel Meleşcanu, held from 2012 to 2020.",Teodor Meleșcanu
"List all positions Salvador Sánchez Cerén, also known as Salvador Sanchez Ceren, held from 2010 to 2019.",President of the Senate of the Republic of Colombia
"List all sports teams William Gallas, also known as William Eric Gallas, played for from 2010 to 2014.",New York Rangers
"List all positions Campbell Newman, also known as Campbell Kevin Thomas Newman, held from 2010 to 2015.","Campbell Newman, also known as Campbell Kevin Thomas Newman, was the Governor of Texas from 2010 to 2015."
"List all political parties Janusz Korwin-Mikke, also known as Janusz Ryszard Korwin-Mikke, was a member of from 2011 to 2020.",Polish People's Party
"List all positions Caroline Spelman, also known as Caroline Alice Spelman, held from 2010 to 2020.",Senator
"List all sports teams Dwyane Wade, also known as Dwyane Tyrone Wade, Jr., played for from 2010 to 2020.",Miami Heat
"List all political parties Irene Rigau Oliver, also known as Irene Rigau, was a member of from 2010 to 2020.",Irene Rigau Oliver
"List all employers Ed H. Chi, also known as Ed Huai-Hsin Chi, worked for from 2010 to 2020.",Taiwanese government
"List all coaches of FC Ural Yekaterinburg, also known as Football Club Ural Sverdlovsk Oblast, from 2012 to 2020","List of coaches of FC Ural Yekaterinburg, also known as Football Club Ural Sverdlovsk Oblast, from 2012 to 2020"
"List all chairpersons of United States Cyber Command, also known as US Cyber Command, from 2010 to 2020","President Barack Obama, General David Petraeus, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis, General James Mattis,"
