question,response,examples
"List all positions George Young, also known as Sir George Samuel Knatchbull Young, 6th Baronet, held from 2010 to 2014.","George Young (2010, 2011, 2012, 2013, 2014); George Young (2010, 2011, 2012, 2013, 2014); George Young (2010, 2011, 2012, 2013, 2014); George Young (2010, 2011, 2012, 2013, 2014); George Young (2010, 2011, 2012, 2013, 2014); George Young (2010, 2011, 2012, 2013, 2014); George Young (2010, 2011, 2012, 2013, 2014); George Young (2010, 2011, 2012, 2013, 2014); George Young (2010, 2011, 2012, 2013, 2014); George Young (2010, 2012, 2013, 2014); George Young (2010, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all positions John Baird, also known as John Russell Baird, held from 2010 to 2015.
  Answer: Minister of the Environment (2010, 2011); Leader of the Government in the House of Commons (2010, 2011); Minister of Transport (2010); Minister of Foreign Affairs of Canada (2011, 2012, 2013, 2014, 2015)
Example:
  Question: List all positions Jeremy Corbyn, also known as Jeremy Bernard Corbyn, held from 2015 to 2020.
  Answer: Leader of the Labour Party (2015, 2016, 2017, 2018, 2019, 2020); Leader of the Opposition (2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all positions Nick Houghton, also known as General Sir John Nicholas Reynolds Houghton, held from 2013 to 2020.
  Answer: Chief of the Defence Staff (2013, 2014, 2015, 2016); Constable of the Tower (2016, 2017, 2018, 2019, 2020)"
"List all chairpersons of Royal Dutch Rowing Federation, also known as KNRB, from 2010 to 2020","Yvonne van der Merwe (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Yvonne van der Merwe (2016, 2017, 2018, 2019, 2020); Yvonne van der Merwe (2016, 2017, 2018, 2019, 2020); Yvonne van der Merwe (2020)","Example:
  Question: List all chairpersons of KPMG, also known as Klynveld Peat Marwick Goerdeler, from 2011 to 2017
  Answer: Michael Andrew (2011, 2012, 2013, 2014); John B. Veihmeyer (2014, 2015, 2016, 2017)
Example:
  Question: List all chairpersons of National Coalition Party, also known as Kansallinen Kokoomus r.p., from 2010 to 2020
  Answer: Jyrki Katainen (2010, 2011, 2012, 2013, 2014); Alexander Stubb (2014, 2015, 2016); Petteri Orpo (2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all chairpersons of Centre Party, also known as Suomen Keskusta, from 2010 to 2020
  Answer: Mari Kiviniemi (2010, 2011, 2012); Matti Vanhanen (2010); Juha Sipilä (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019); Katri Kulmuni (2019, 2020); Annika Saarikko (2020); Liv Signe Navarsete (2010, 2011, 2012, 2013, 2014); Trygve Slagsvold Vedum (2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Pat Nuttall, also known as Patricia A. Nuttall, worked for from 2011 to 2020.","Pat Nuttall (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Pat Nuttall (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Pat Nuttall (2011, 2012, 2019, 2020)","Example:
  Question: List all employers Patricia Harris worked for from 2010 to 2020.
  Answer: New York City (2010, 2011, 2012, 2013); Bloomberg Philanthropies (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Barbara Graziosi worked for from 2010 to 2020.
  Answer: Durham University (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); Princeton University (2018, 2019, 2020)
Example:
  Question: List all employers Patricia Berrahou Phillippy, also known as Patricia Phillippy, worked for from 2010 to 2020.
  Answer: Texas A&M University (2010); Kingston University (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Coventry University (2020)"
"List all positions Paul Chan Mo-po, also known as Paul Chan, held from 2012 to 2020.","Deputy Minister of State (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Minister of State (2012, 2018, 2019, 2020); Minister of State (2012, 2017, 2018, 2019, 2020); Minister of State (2020)","Example:
  Question: List all positions Goh Chok Tong held from 2010 to 2011.
  Answer: Senior Minister (2010, 2011); Emeritus Senior Minister (2010, 2011)
Example:
  Question: List all positions Paul Murphy held from 2011 to 2020.
  Answer: member of the European Parliament (2011, 2012, 2013, 2014); Teachta Dála (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all positions Michael Yeung Ming-cheung held from 2014 to 2020.
  Answer: auxiliary bishop (2014, 2015, 2016, 2017, 2018, 2019, 2020); titular bishop (2014, 2015, 2016, 2017, 2018, 2019, 2020); Catholic bishop (2014, 2015, 2016, 2017, 2018, 2019, 2020); coadjutor bishop (2016, 2017, 2018, 2019, 2020); diocesan bishop (2017, 2018, 2019, 2020)"
"List all employers Guy Bailey, also known as Guy H. Bailey, worked for from 2010 to 2020.","Guy Bailey (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Guy Bailey (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all employers David Castle, also known as D. Castle, worked for from 2010 to 2020.
  Answer: University of Edinburgh (2010, 2011, 2012, 2013, 2014); University of Ottawa (2010); University of Victoria (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Robert Califf, also known as Robert M. Califf, worked for from 2010 to 2020.
  Answer: Duke University (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019); Food and Drug Administration (2016, 2017); Verily Life Sciences (2019, 2020)
Example:
  Question: List all employers Jeff Hammerbacher, also known as Jeffrey Hammerbacher, worked for from 2012 to 2020.
  Answer: Icahn School of Medicine at Mount Sinai (2012, 2013, 2014, 2015, 2016, 2017); Medical University of South Carolina (2016, 2017, 2018, 2019, 2020)"
List all employers Ellen Weiss worked for from 2010 to 2020.,"Ellen Weiss (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Ellen Weiss (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Ellen Weiss (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all employers Erica Chenoweth worked for from 2010 to 2020.
  Answer: Wesleyan University (2010, 2011, 2012); Josef Korbel School of International Studies (2012, 2013, 2014, 2015, 2016, 2017, 2018); Harvard University (2018, 2019, 2020)
Example:
  Question: List all employers Esther Eidinow worked for from 2010 to 2020.
  Answer: University of Nottingham (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017); University of Bristol (2017, 2018, 2019, 2020)
Example:
  Question: List all employers Nora Hamzawi worked for from 2010 to 2019.
  Answer: M6 (2010, 2011); France Inter (2013, 2014, 2015, 2016); Canal+ (2013, 2014, 2015); TMC (2016, 2017, 2018, 2019)"
"List all political parties Andy McKean, also known as Andrew John McKean, was a member of from 2010 to 2020.","Liberal Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Independent Party (2016, 2017, 2018, 2019, 2020); Independent Party (2016, 2017, 2018, 2019, 2020); Independent Party (2020)","Example:
  Question: List all political parties Scott Andrews was a member of from 2010 to 2020.
  Answer: Liberal Party of Canada (2010, 2011, 2012, 2013, 2014); independent politician (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Georges Képénékian was a member of from 2010 to 2020.
  Answer: Socialist Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017); Renaissance (2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Andrew Murray, also known as Andrew Philip Drummond-Murray, was a member of from 2010 to 2020.
  Answer: Communist Party of Britain (2010, 2011, 2012, 2013, 2014, 2015, 2016); Labour Party (2016, 2017, 2018, 2019, 2020)"
List all political parties Ilias Kasidiaris was a member of from 2010 to 2020.,"Ilias Kasidiaris (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); The Alternative (2019, 2020); The Alternative (2019, 2020); The Alternative (2020)","Example:
  Question: List all political parties Hamed Karoui was a member of from 2010 to 2020.
  Answer: Constitutional Democratic Rally (2010, 2011); Free Destourian Party (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Kashif Ahmad was a member of from 2014 to 2020.
  Answer: National Party (2014, 2015, 2016, 2017, 2018, 2019); The Alternative (2019, 2020); Danish Social Liberal Party (2020)
Example:
  Question: List all political parties Kumudini Patnaik was a member of from 2010 to 2020.
  Answer: Indian National Congress (2010, 2011, 2012, 2013, 2014); Bharatiya Janata Party (2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers John Lasseter, also known as John Alan Lasseter, worked for from 2010 to 2020.","John Lasseter (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); John Lasseter (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); John Lasseter (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all employers John Engler, also known as John Mathias Engler, worked for from 2010 to 2019.
  Answer: National Association of Manufacturers (2010, 2011); Michigan State University (2018, 2019)
Example:
  Question: List all employers Michael Fleischhacker worked for from 2010 to 2020.
  Answer: Die Presse (2010, 2011, 2012); ServusTV (2014, 2015, 2016, 2017, 2018, 2019, 2020); Addendum (research platform) (2017, 2018, 2019, 2020)
Example:
  Question: List all employers Tony Renda, also known as Anthony John Renda, worked for from 2010 to 2020.
  Answer: Washington Nationals (2010, 2011, 2012, 2013, 2014); New York Yankees (2014, 2015); Cincinnati Reds (2015, 2016, 2017, 2018, 2019, 2020)"
List all sports teams Naomichi Ueda played for from 2011 to 2020.,"Japan Billie Jean King Cup team (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Japan at the Hopman Cup (2020); Japan at the 2016–2017 (2017, 2018, 2019, 2020); Japan at the 2016–2017 (2020); Japan at the 2016–2017 (2017, 2018, 2019, 2020); Japan at the 2016–2017 (2020); Japan at the 2016–2017 (2020); Japan at the 2018/19 (2019, 2020)","Example:
  Question: List all sports teams Naomi Osaka, also known as Naomi Ōsaka, played for from 2017 to 2020.
  Answer: Japan Billie Jean King Cup team (2017, 2018, 2019, 2020); Japan at the Hopman Cup (2018, 2019, 2020)
Example:
  Question: List all sports teams Hernán Losada, also known as Hernan Losada, played for from 2010 to 2020.
  Answer: R. Charleroi S.C. (2010, 2011); R.S.C. Anderlecht (2010, 2011); SC Heerenveen (2010); Beerschot A.C. (2011, 2012, 2013); Lierse S.K. (2013, 2014, 2015); KFCO Beerschot Wilrijk (2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all sports teams Lassana Diarra played for from 2010 to 2020.
  Answer: Real Madrid CF (2010, 2011, 2012); FC Anzhi Makhachkala (2012, 2013); FC Lokomotiv Moscow (2013, 2014, 2015); Olympique de Marseille (2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of Millwall F.C., also known as The Lions, from 2015 to 2020","Millwall F.C. (2015, 2016, 2017, 2018, 2019, 2020); Maurice Canton (2015, 2016, 2017, 2018, 2019, 2020); Maurice Canton (2020)","Example:
  Question: List all coaches of Limburg Lions, also known as Lions, from 2010 to 2019
  Answer: Aleksandr Rymanov (2010, 2011); Maurice Canton (2013, 2014); Lambert Schuurs (2014, 2015, 2016, 2017, 2018, 2019)
Example:
  Question: List all coaches of Wolverhampton Wanderers F.C., also known as Wolverhampton Wanderers, from 2016 to 2020
  Answer: Walter Zenga (2016); Nuno Espírito Santo (2017, 2018, 2019, 2020)
Example:
  Question: List all coaches of FC Liefering from 2015 to 2020
  Answer: Thomas Letsch (2015, 2016, 2017); Janusz Góra (2017, 2018, 2019); Gerhard Struber (2018, 2019); Michael Feichtenbeiner (2019); Bo Svensson (2019, 2020)"
"List all positions Winston Peters, also known as Winston Raymond Peters, held from 2017 to 2020.","Winston Peters (2017, 2018, 2019, 2020); Winston Peters (2019, 2020); Winston Peters (2019, 2020)","Example:
  Question: List all positions Gary Peters, also known as Gary Charles Peters, held from 2010 to 2020.
  Answer: United States representative (2010, 2011, 2012, 2013, 2014, 2015); United States senator (2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all positions Scott Peters, also known as Scott H. Peters, held from 2010 to 2020.
  Answer: commissioner (2010, 2011, 2012); United States representative (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all positions Mark Norman held from 2013 to 2020.
  Answer: Commander of the Royal Canadian Navy (2013, 2014, 2015, 2016); Vice Chief of the Defence Staff (2016, 2017, 2018, 2019, 2020)"
List all employers Gabriela Pazmiño worked for from 2010 to 2019.,"Gabriela Pazmio (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Gabriela Pazmio (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all employers Nora Hamzawi worked for from 2010 to 2019.
  Answer: M6 (2010, 2011); France Inter (2013, 2014, 2015, 2016); Canal+ (2013, 2014, 2015); TMC (2016, 2017, 2018, 2019)
Example:
  Question: List all employers Joaquim Radua worked for from 2013 to 2020.
  Answer: Institute of Psychiatry, Psychology and Neuroscience (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Karolinska Institutet (2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Zeina Yazigi worked for from 2010 to 2017.
  Answer: Al Arabiya (2010, 2011); Dubai TV (2011, 2012, 2013, 2014); Sky News Arabia (2014, 2015, 2016, 2017)"
"List all positions Petr Nečas, also known as Petr Necas, held from 2010 to 2013.","Petr Neas (2010, 2011, 2012, 2013, 2014); Petr Neas (2010, 2011, 2012, 2013, 2014); Petr Neas (2010, 2011, 2012, 2013, 2014); Petr Neas (2010, 2011, 2012, 2013, 2014); Petr Neas (2010, 2011, 2012, 2013, 2014); Petr Neas (2010, 2011); Petr Neas (2010, 2011); Petr Neas (2010, 2011); Petr Neas (2010, 2011); Petr Neas (2010, 2011); Petr Neas (2010, 2011); Petr Neas (2010, 2011); Petr Neas (2010, 2011); Petr Neas (2010, 2011); Petr Neas (2010, 2011); Petr Neas (2010, 2011); Petr Neas (2010, 2011); Petr Neas (2010, 2011); Petr Neas (2010, 2011); Petr Neas (2010, 2011); Petr Neas (2010, 2011); Petr Nea","Example:
  Question: List all positions Thein Sein held from 2010 to 2016.
  Answer: Prime Minister of Myanmar (2010, 2011); President of Myanmar (2011, 2012, 2013, 2014, 2015, 2016)
Example:
  Question: List all positions Sylvi Listhaug held from 2013 to 2020.
  Answer: Minister of Agriculture and Food (Norway) (2013, 2014, 2015); Minister of Justice and Public Security (2018); Minister of Energy (2019, 2020)
Example:
  Question: List all positions Juha Sipilä, also known as Juha Petri Sipilä, held from 2015 to 2019.
  Answer: Speaker of the Parliament of Finland (2015); Prime Minister of Finland (2015, 2016, 2017, 2018, 2019)"
"List all educational institutions Isaac Humphries, also known as Isaac Bradley Humphries, attended from 2014 to 2017.","University of Oklahoma (2014, 2015, 2016, 2017, 2018, 2019, 2020); University of Oklahoma (2020, 2020); University of Oklahoma (2020, 2020); University of Oklahoma (2020, 2020)","Example:
  Question: List all educational institutions Melodie Robinson attended from 2015 to 2017.
  Answer: University of Auckland (2015, 2016, 2017); University of Tennessee, Knoxville (2016)
Example:
  Question: List all educational institutions Jock Landale attended from 2010 to 2018.
  Answer: Geelong Grammar School (2010, 2011, 2012, 2013, 2014); Saint Mary's College of California (2014, 2015, 2016, 2017, 2018)
Example:
  Question: List all educational institutions Reid Travis attended from 2010 to 2020.
  Answer: DeLaSalle High School (2010, 2011, 2012, 2013, 2014); Stanford University (2014, 2015, 2016, 2017, 2018); University of Kentucky (2018, 2019, 2020)"
"List all positions Bruce Poliquin, also known as Bruce Lee Poliquin, held from 2010 to 2019.","Bruce Poliquin (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Bruce Lee Poliquin (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all positions Charlie Shrem, also known as Charles Shrem IV, held from 2011 to 2014.
  Answer: chief executive officer (2011, 2012, 2013); vice president (2012, 2013, 2014)
Example:
  Question: List all positions Lee Jae-myung, also known as Lee Jae-myeong, held from 2010 to 2020.
  Answer: mayor (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); Governor of Gyeonggi Province (2018, 2019, 2020)
Example:
  Question: List all positions Martin Schulz held from 2010 to 2017.
  Answer: parliamentary group leader (2010, 2011, 2012, 2014); member of the European Parliament (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017); President of the European Parliament (2012, 2013, 2014, 2015, 2016, 2017)"
"List all employers Clive Ballard, also known as C Ballard, worked for from 2010 to 2020.","Clive Ballard (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Clive Ballard (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all employers David Castle, also known as D. Castle, worked for from 2010 to 2020.
  Answer: University of Edinburgh (2010, 2011, 2012, 2013, 2014); University of Ottawa (2010); University of Victoria (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Laurence Boone worked for from 2011 to 2020.
  Answer: Bank of America (2011, 2012, 2013, 2014); President of the French Republic (2014, 2015, 2016); Organization for Economic Cooperation and Development (2018, 2019, 2020)
Example:
  Question: List all employers David Kaye, also known as David A. Kaye, worked for from 2010 to 2020.
  Answer: UCLA School of Law (2010, 2011, 2012); University of California, Irvine (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Thomas Massie, also known as Mr. No, held from 2010 to 2019.","Thomas Massie (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Thomas Massie (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all positions John Denham, also known as John Yorke Denham, held from 2010 to 2011.
  Answer: Secretary of State for Levelling Up, Housing and Communities (2010); Shadow Secretary of State for Business, Innovation and Skills (2010, 2011); Shadow Secretary of State for Communities and Local Government (2010)
Example:
  Question: List all positions Henry McMaster, also known as Henry Dargan McMaster, held from 2015 to 2020.
  Answer: Lieutenant Governor of South Carolina (2015, 2016, 2017); Governor of South Carolina (2017, 2018, 2019, 2020)
Example:
  Question: List all positions Thomas Oppermann, also known as Thomas Ludwig Albert Oppermann, held from 2010 to 2017.
  Answer: Chief Whip (2010, 2011, 2012, 2013); parliamentary group leader (2013, 2014, 2015, 2016, 2017)"
"List all positions Kelly Loeffler, also known as Kelly L. Loeffler, held from 2018 to 2020.","Deputy Secretary of State (2018, 2019, 2020); Secretary of State (2019, 2020); Secretary of State (2019, 2020); Secretary of State (2019, 2020); Secretary of State (2019, 2020); Secretary of State (2020)","Example:
  Question: List all positions Kelly O'Dwyer held from 2017 to 2020.
  Answer: Minister for the Status of Women (2017, 2018, 2019, 2020); Minister for Employment and Workplace Relations (2018, 2019, 2020)
Example:
  Question: List all positions Robin Kelly, also known as Robin L. Kelly, held from 2010 to 2020.
  Answer: military chief of staff (2010); chief administrative officer (2010, 2011, 2012); United States representative (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all positions Trent Kelly, also known as John Trent Kelly, held from 2012 to 2020.
  Answer: district attorney (2012, 2013, 2014, 2015); United States representative (2015, 2016, 2017, 2018, 2019, 2020)"
List all coaches of Maccabi Petah Tikva F.C. from 2012 to 2020,"Maccabi Petah Tikva F.C. (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all coaches of FC Akzhayik from 2013 to 2020
  Answer: Ljupko Petrović (2013); Artur Avakyants (2019, 2020)
Example:
  Question: List all coaches of Hapoel Haifa F.C., also known as Hapoel Haifa Football Club, from 2017 to 2020
  Answer: Nir Klinger (2017, 2018); Haim Silvas (2019, 2020)
Example:
  Question: List all coaches of FK Spartaks Jūrmala from 2018 to 2020
  Answer: Aleksandr Grishin (2018); Tomas Ražanauskas (2018, 2019); Nunzio Zavettieri (2019, 2020); Alexei Eremenko (2020)"
"List all chairpersons of Ministry of Land, Infrastructure and Transport, also known as MOLIT, from 2015 to 2020","Yuri Gupta (2015, 2016, 2017, 2018, 2019, 2020); Yuri Gupta (2020)","Example:
  Question: List all chairpersons of Ministry of Justice, also known as MOJ, from 2013 to 2020
  Answer: Hwang Kyo-ahn (2013, 2014, 2015); Park Sang-ki (2017, 2018, 2019); Cho Kuk (2019); Choo Mi-ae (2020)
Example:
  Question: List all chairpersons of Ministry of Foreign Affairs of the Republic of Korea, also known as MOFA, from 2013 to 2020
  Answer: Yun Byung-se (2013, 2014, 2015, 2016, 2017); Kang Kyung-hwa (2017, 2018, 2019, 2020)
Example:
  Question: List all chairpersons of Ministry of Science and Higher Education, also known as Ministerstwo Nauki i Szkolnictwa Wyższego, from 2015 to 2020
  Answer: Jarosław Gowin (2015, 2016, 2017, 2018, 2019, 2020); Wojciech Murdzek (2020)"
"List all chairpersons of PSL University, also known as PSL *, from 2012 to 2020","PSL University (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); PSL University (2020)","Example:
  Question: List all chairpersons of Council of State from 2010 to 2020
  Answer: Panagiotis Pikrammenos (2010, 2011, 2012); Katerina Sakellaropoulou (2018, 2019, 2020)
Example:
  Question: List all chairpersons of Ministry of Education of the Russian Federation from 2018 to 2020
  Answer: Olga Vasilyeva (2018, 2019, 2020); Sergey Kravtsov (politician) (2020)
Example:
  Question: List all chairpersons of Financial Information Authority from 2010 to 2020
  Answer: Attilio Nicora (2010, 2011, 2012, 2013, 2014); Giorgio Corbellini (2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all educational institutions Beatrice Borromeo attended from 2010 to 2012.,"University of California, Berkeley (2010, 2011, 2012); University of California, Berkeley (2011, 2012); University of California, Berkeley (2012, 2013, 2014); University of California, Berkeley (2013, 2014); University of California, Berkeley (2014, 2015, 2016, 2017, 2018, 2020)","Example:
  Question: List all educational institutions Erin Boley attended from 2016 to 2020.
  Answer: University of Notre Dame (2016, 2017); University of Oregon (2017, 2018, 2019, 2020)
Example:
  Question: List all educational institutions Vincent Chauvet attended from 2010 to 2012.
  Answer: Sciences Po (2010, 2011, 2012); HEC Paris (2010, 2011)
Example:
  Question: List all educational institutions Aleksandre Bakshi attended from 2015 to 2019.
  Answer: Texas A&M University (2015, 2016, 2017); University of Oklahoma (2017, 2018, 2019)"
List all coaches of SV Ried from 2015 to 2020,"SV Ried (2015, 2016, 2017, 2018, 2019, 2020); SV Ried (2015, 2016, 2017, 2018, 2019, 2020); SV Ried (2020)","Example:
  Question: List all coaches of FC Liefering from 2015 to 2020
  Answer: Thomas Letsch (2015, 2016, 2017); Janusz Góra (2017, 2018, 2019); Gerhard Struber (2018, 2019); Michael Feichtenbeiner (2019); Bo Svensson (2019, 2020)
Example:
  Question: List all coaches of FK Radnički Niš from 2018 to 2020
  Answer: Nenad Lalatović (2018, 2019); Radoslav Batak (2020)
Example:
  Question: List all coaches of FK Sutjeska Nikšić from 2012 to 2020
  Answer: Dragan Radojičić (2012, 2013, 2014, 2020); Nikola Rakojević (2017, 2018, 2019, 2020)"
List all coaches of FC Voluntari from 2015 to 2020,iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,"Example:
  Question: List all coaches of FC Liefering from 2015 to 2020
  Answer: Thomas Letsch (2015, 2016, 2017); Janusz Góra (2017, 2018, 2019); Gerhard Struber (2018, 2019); Michael Feichtenbeiner (2019); Bo Svensson (2019, 2020)
Example:
  Question: List all coaches of Hallescher FC from 2010 to 2020
  Answer: Sven Köhler (2010, 2011, 2012, 2013, 2014, 2015); Torsten Ziegner (2018, 2019, 2020)
Example:
  Question: List all coaches of FC Baranovichi from 2016 to 2020
  Answer: Andrey Hlebasolaw (2016, 2019, 2020); Aleksey Vergeyenko (2017)"
List all employers Christina Warinner worked for from 2010 to 2020.,"Christina Warinner (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Yves Saint-Laurent (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Yves Saint-Laurent (2020)","Example:
  Question: List all employers Nicole Megow worked for from 2010 to 2020.
  Answer: Max Planck Institute for Informatics (2010, 2011, 2012, 2013, 2014, 2015); Technical University of Munich (2015, 2016); University of Bremen (2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Ingrid Schaffner worked for from 2010 to 2020.
  Answer: Institute of Contemporary Art, Philadelphia (2010, 2011, 2012, 2013, 2014, 2015); Carnegie International (2015, 2016, 2017, 2018, 2019); Chinati Foundation (2020)
Example:
  Question: List all employers Catherine Guillouard worked for from 2010 to 2020.
  Answer: Eutelsat (2010, 2011, 2012, 2013); Rexel (2013, 2014, 2015, 2016, 2017); RATP (2017, 2018, 2019, 2020)"
"List all positions Manuel José Macário do Nascimento Clemente, also known as Manuel Clemente, held from 2013 to 2020.","Manuel José Macário do Nascimento Clemente (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all employers Christofer Clemente, also known as Christofer J. Clemente, worked for from 2010 to 2020.
  Answer: Harvard University (2010, 2011, 2012); University of Queensland (2012, 2013, 2014, 2015); University of the Sunshine Coast (2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all positions Enrique Peña Nieto held from 2010 to 2018.
  Answer: Governor of the State of Mexico (2010, 2011); President of Mexico (2012, 2013, 2014, 2015, 2016, 2017, 2018)
Example:
  Question: List all positions Matteo Salvini held from 2010 to 2019.
  Answer: member of the European Parliament (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); council member (2010, 2011, 2012); party leader (2012, 2013, 2014, 2015); Vice President of the Council of Ministers of Italy (2018, 2019)"
"List all heads of the government of Baden-Württemberg, also known as BW, from 2010 to 2020 ","Stefan Mappus (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Thomas Strobl (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Fritz Kuhn (2010, 2011, 2018, 2019, 2020)","Example:
  Question: List all chairpersons of CDU Baden-Württemberg, also known as CDU BW, from 2010 to 2020
  Answer: Stefan Mappus (2010, 2011); Thomas Strobl (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all heads of the government of Stuttgart from 2010 to 2020 
  Answer: Wolfgang Schuster (2010, 2011, 2012, 2013); Fritz Kuhn (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all heads of the government of Berlin, also known as Berlin, Germany, from 2010 to 2020 
  Answer: Klaus Wowereit (2010, 2011, 2012, 2013, 2014); Michael Müller (2014, 2015, 2016, 2017, 2018, 2019, 2020)"
